date,year,month,day,city,station,PM2.5_ug_m3,PM10_ug_m3,SO2_ug_m3,NO2_ug_m3,CO_mg_m3,O3_ug_m3,AQI,predominant_pollutant,source
2018-01-30,2018,1,30,Mumbai,Industrial Area - Navi Mumbai,233,325,34.3,76.8,1.09,65.3,371,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-31,2018,1,31,Mumbai,Industrial Area - Navi Mumbai,62,304,25.1,45.9,0.94,58.7,121,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-01,2018,2,1,Mumbai,Industrial Area - Navi Mumbai,109,318,7.9,45.7,1.84,73.5,188,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-02,2018,2,2,Mumbai,Industrial Area - Navi Mumbai,188,341,34.9,64.3,1.29,53.3,306,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-03,2018,2,3,Mumbai,Industrial Area - Navi Mumbai,157,174,24.1,89.3,2.38,76.6,258,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-04,2018,2,4,Mumbai,Industrial Area - Navi Mumbai,75,199,17.5,60.3,3.36,60.4,137,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-05,2018,2,5,Mumbai,Industrial Area - Navi Mumbai,222,322,10.8,34.7,1.26,97.4,343,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-06,2018,2,6,Mumbai,Industrial Area - Navi Mumbai,98,257,30.3,91.6,1.79,81.6,182,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-07,2018,2,7,Mumbai,Industrial Area - Navi Mumbai,92,114,34.7,88.4,2.57,117.8,163,O3,Synthetic multi-year data modeled on CPCB format
2018-02-08,2018,2,8,Mumbai,Industrial Area - Navi Mumbai,157,292,32.4,64.3,3.0,108.2,259,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-09,2018,2,9,Mumbai,Industrial Area - Navi Mumbai,130,207,24.9,107.5,2.79,98.3,228,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-10,2018,2,10,Mumbai,Industrial Area - Navi Mumbai,183,213,16.9,102.7,2.17,61.0,301,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-11,2018,2,11,Mumbai,Industrial Area - Navi Mumbai,126,162,23.5,102.2,2.79,63.3,218,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-12,2018,2,12,Mumbai,Industrial Area - Navi Mumbai,162,143,15.0,110.3,0.95,22.4,269,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-02-13,2018,2,13,Mumbai,Industrial Area - Navi Mumbai,214,210,27.0,37.3,2.84,93.9,325,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-02-14,2018,2,14,Mumbai,Industrial Area - Navi Mumbai,94,117,5.1,112.5,0.3,48.3,173,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-15,2018,2,15,Mumbai,Industrial Area - Navi Mumbai,174,89,24.3,40.8,2.89,61.8,262,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-02-16,2018,2,16,Mumbai,Industrial Area - Navi Mumbai,99,176,11.6,140.1,1.77,26.7,192,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-17,2018,2,17,Mumbai,Industrial Area - Navi Mumbai,63,262,30.4,148.0,2.03,115.7,150,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-18,2018,2,18,Mumbai,Industrial Area - Navi Mumbai,61,96,17.1,127.1,2.67,20.4,130,NO2,Synthetic multi-year data modeled on CPCB format
2018-02-19,2018,2,19,Mumbai,Industrial Area - Navi Mumbai,241,250,34.5,70.3,0.73,96.2,375,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-20,2018,2,20,Mumbai,Industrial Area - Navi Mumbai,240,251,17.2,138.0,0.62,80.3,394,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-21,2018,2,21,Mumbai,Industrial Area - Navi Mumbai,161,296,8.7,136.6,0.42,107.7,287,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-22,2018,2,22,Mumbai,Industrial Area - Navi Mumbai,241,155,24.5,113.1,0.88,83.7,382,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-02-23,2018,2,23,Mumbai,Industrial Area - Navi Mumbai,123,186,9.4,123.2,0.62,104.0,222,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-24,2018,2,24,Mumbai,Industrial Area - Navi Mumbai,53,273,21.8,79.4,3.01,15.6,117,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-25,2018,2,25,Mumbai,Industrial Area - Navi Mumbai,52,228,24.0,100.7,0.86,70.4,118,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-26,2018,2,26,Mumbai,Industrial Area - Navi Mumbai,111,132,25.6,111.6,2.56,91.8,198,PM10,Synthetic multi-year data modeled on CPCB format
2018-02-27,2018,2,27,Mumbai,Industrial Area - Navi Mumbai,218,176,18.6,29.2,3.4,77.8,326,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-02-28,2018,2,28,Mumbai,Industrial Area - Navi Mumbai,181,339,18.7,51.8,2.07,67.1,292,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-01,2018,3,1,Mumbai,Industrial Area - Navi Mumbai,41,304,21.6,55.9,0.95,55.6,95,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-02,2018,3,2,Mumbai,Industrial Area - Navi Mumbai,219,223,31.1,46.1,0.92,61.6,336,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-03,2018,3,3,Mumbai,Industrial Area - Navi Mumbai,64,344,11.1,125.3,1.99,57.1,151,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-04,2018,3,4,Mumbai,Industrial Area - Navi Mumbai,54,110,11.4,121.8,0.37,88.4,119,NO2,Synthetic multi-year data modeled on CPCB format
2018-03-05,2018,3,5,Mumbai,Industrial Area - Navi Mumbai,237,254,6.1,132.8,0.85,34.9,389,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-06,2018,3,6,Mumbai,Industrial Area - Navi Mumbai,176,298,24.1,121.7,0.88,97.2,303,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-07,2018,3,7,Mumbai,Industrial Area - Navi Mumbai,147,252,29.7,129.1,2.87,23.2,262,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-08,2018,3,8,Mumbai,Industrial Area - Navi Mumbai,129,117,25.6,36.3,2.27,96.9,199,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-09,2018,3,9,Mumbai,Industrial Area - Navi Mumbai,57,245,9.3,55.8,2.89,38.3,113,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-10,2018,3,10,Mumbai,Industrial Area - Navi Mumbai,210,114,33.8,148.8,1.09,41.3,346,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-11,2018,3,11,Mumbai,Industrial Area - Navi Mumbai,182,332,7.2,86.0,0.45,21.4,303,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-12,2018,3,12,Mumbai,Industrial Area - Navi Mumbai,90,220,33.3,120.2,2.63,48.3,177,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-13,2018,3,13,Mumbai,Industrial Area - Navi Mumbai,141,225,30.9,135.1,2.09,69.5,253,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-14,2018,3,14,Mumbai,Industrial Area - Navi Mumbai,233,120,5.9,134.5,1.86,33.2,374,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-15,2018,3,15,Mumbai,Industrial Area - Navi Mumbai,227,308,8.2,67.1,0.9,13.9,359,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-16,2018,3,16,Mumbai,Industrial Area - Navi Mumbai,50,255,16.8,137.9,2.94,17.3,129,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-17,2018,3,17,Mumbai,Industrial Area - Navi Mumbai,126,312,27.9,133.1,1.85,85.6,238,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-18,2018,3,18,Mumbai,Industrial Area - Navi Mumbai,94,161,25.3,82.5,0.41,115.9,167,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-19,2018,3,19,Mumbai,Industrial Area - Navi Mumbai,238,318,34.2,140.1,0.81,107.9,397,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-20,2018,3,20,Mumbai,Industrial Area - Navi Mumbai,231,123,34.6,108.6,3.36,21.0,364,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-21,2018,3,21,Mumbai,Industrial Area - Navi Mumbai,221,174,25.7,84.0,1.2,108.2,346,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-22,2018,3,22,Mumbai,Industrial Area - Navi Mumbai,241,164,21.3,105.2,2.22,19.9,380,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-23,2018,3,23,Mumbai,Industrial Area - Navi Mumbai,98,239,19.4,122.6,2.74,105.7,190,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-24,2018,3,24,Mumbai,Industrial Area - Navi Mumbai,247,90,24.0,74.7,1.96,42.8,374,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-25,2018,3,25,Mumbai,Industrial Area - Navi Mumbai,87,349,15.4,90.0,0.88,76.9,173,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-26,2018,3,26,Mumbai,Industrial Area - Navi Mumbai,120,242,12.6,36.3,1.12,96.6,195,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-27,2018,3,27,Mumbai,Industrial Area - Navi Mumbai,187,333,22.6,82.9,1.06,100.9,309,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-28,2018,3,28,Mumbai,Industrial Area - Navi Mumbai,164,210,24.8,50.0,1.94,27.9,259,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-29,2018,3,29,Mumbai,Industrial Area - Navi Mumbai,83,234,34.7,129.8,1.0,46.9,171,PM10,Synthetic multi-year data modeled on CPCB format
2018-03-30,2018,3,30,Mumbai,Industrial Area - Navi Mumbai,220,206,16.0,88.2,3.48,111.7,348,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-03-31,2018,3,31,Mumbai,Industrial Area - Navi Mumbai,227,260,13.9,68.5,2.06,40.8,356,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-01,2018,4,1,Mumbai,Industrial Area - Navi Mumbai,105,107,17.2,54.1,1.08,79.8,170,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-02,2018,4,2,Mumbai,Industrial Area - Navi Mumbai,87,323,29.5,110.1,0.7,82.4,177,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-03,2018,4,3,Mumbai,Industrial Area - Navi Mumbai,162,280,11.7,85.4,1.86,96.4,272,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-04,2018,4,4,Mumbai,Industrial Area - Navi Mumbai,180,237,9.0,49.4,0.61,58.0,283,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-05,2018,4,5,Mumbai,Industrial Area - Navi Mumbai,115,176,9.9,144.4,1.94,17.4,216,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-06,2018,4,6,Mumbai,Industrial Area - Navi Mumbai,240,299,9.1,100.2,1.32,45.9,386,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-07,2018,4,7,Mumbai,Industrial Area - Navi Mumbai,126,203,20.6,147.1,1.17,51.6,234,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-08,2018,4,8,Mumbai,Industrial Area - Navi Mumbai,63,211,21.7,43.9,0.58,79.8,116,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-09,2018,4,9,Mumbai,Industrial Area - Navi Mumbai,181,91,18.9,109.0,2.56,84.7,292,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-10,2018,4,10,Mumbai,Industrial Area - Navi Mumbai,119,132,29.5,83.5,3.25,59.0,200,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-11,2018,4,11,Mumbai,Industrial Area - Navi Mumbai,91,262,31.4,34.5,3.25,70.2,156,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-12,2018,4,12,Mumbai,Industrial Area - Navi Mumbai,95,180,31.1,67.8,3.3,61.9,165,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-13,2018,4,13,Mumbai,Industrial Area - Navi Mumbai,78,265,26.4,74.6,2.51,56.8,150,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-14,2018,4,14,Mumbai,Industrial Area - Navi Mumbai,169,163,33.1,119.6,2.05,63.4,283,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-15,2018,4,15,Mumbai,Industrial Area - Navi Mumbai,214,229,19.1,117.6,1.9,22.5,350,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-16,2018,4,16,Mumbai,Industrial Area - Navi Mumbai,143,109,28.7,73.6,1.4,35.5,229,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-17,2018,4,17,Mumbai,Industrial Area - Navi Mumbai,164,341,20.7,145.3,0.95,25.9,297,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-18,2018,4,18,Mumbai,Industrial Area - Navi Mumbai,81,323,29.8,137.3,0.66,39.0,177,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-19,2018,4,19,Mumbai,Industrial Area - Navi Mumbai,63,338,9.2,74.0,0.36,62.4,134,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-20,2018,4,20,Mumbai,Industrial Area - Navi Mumbai,217,321,30.2,133.7,1.5,51.1,366,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-21,2018,4,21,Mumbai,Industrial Area - Navi Mumbai,246,179,25.2,109.9,0.88,38.4,389,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-22,2018,4,22,Mumbai,Industrial Area - Navi Mumbai,109,148,34.3,26.7,2.42,97.2,170,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-23,2018,4,23,Mumbai,Industrial Area - Navi Mumbai,133,88,5.9,123.1,3.05,59.8,229,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-24,2018,4,24,Mumbai,Industrial Area - Navi Mumbai,240,134,18.2,101.1,2.26,78.3,375,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-25,2018,4,25,Mumbai,Industrial Area - Navi Mumbai,119,243,31.9,66.8,1.99,104.4,203,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-26,2018,4,26,Mumbai,Industrial Area - Navi Mumbai,194,197,7.0,139.8,0.37,54.4,327,PM10,Synthetic multi-year data modeled on CPCB format
2018-04-27,2018,4,27,Mumbai,Industrial Area - Navi Mumbai,249,130,26.5,90.5,2.16,84.1,384,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-28,2018,4,28,Mumbai,Industrial Area - Navi Mumbai,148,106,21.2,34.6,0.41,18.5,224,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-29,2018,4,29,Mumbai,Industrial Area - Navi Mumbai,133,100,17.8,105.9,1.01,52.3,224,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-04-30,2018,4,30,Mumbai,Industrial Area - Navi Mumbai,80,279,7.2,124.7,1.68,42.1,168,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-01,2018,5,1,Mumbai,Industrial Area - Navi Mumbai,169,88,13.9,71.1,3.0,117.5,264,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-02,2018,5,2,Mumbai,Industrial Area - Navi Mumbai,105,344,21.7,129.7,0.84,57.5,209,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-03,2018,5,3,Mumbai,Industrial Area - Navi Mumbai,83,325,16.5,79.1,0.46,92.8,162,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-04,2018,5,4,Mumbai,Industrial Area - Navi Mumbai,226,141,17.0,113.5,0.76,49.7,360,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-05,2018,5,5,Mumbai,Industrial Area - Navi Mumbai,110,277,22.0,129.2,2.8,81.2,212,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-06,2018,5,6,Mumbai,Industrial Area - Navi Mumbai,55,260,15.2,74.2,0.77,15.8,117,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-07,2018,5,7,Mumbai,Industrial Area - Navi Mumbai,245,348,19.6,28.5,2.32,77.3,375,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-08,2018,5,8,Mumbai,Industrial Area - Navi Mumbai,173,85,26.6,104.3,2.09,67.3,279,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-09,2018,5,9,Mumbai,Industrial Area - Navi Mumbai,143,151,29.3,66.0,1.99,88.6,230,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-10,2018,5,10,Mumbai,Industrial Area - Navi Mumbai,76,170,26.9,27.3,0.7,83.8,126,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-11,2018,5,11,Mumbai,Industrial Area - Navi Mumbai,220,142,22.8,127.4,2.09,50.3,356,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-12,2018,5,12,Mumbai,Industrial Area - Navi Mumbai,205,292,34.8,45.9,1.41,58.0,321,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-13,2018,5,13,Mumbai,Industrial Area - Navi Mumbai,159,313,25.2,118.5,2.17,67.2,280,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-14,2018,5,14,Mumbai,Industrial Area - Navi Mumbai,157,288,28.0,82.3,3.01,32.0,264,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-15,2018,5,15,Mumbai,Industrial Area - Navi Mumbai,179,128,18.1,34.2,2.56,69.6,269,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-16,2018,5,16,Mumbai,Industrial Area - Navi Mumbai,145,233,24.8,106.2,0.51,78.3,251,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-17,2018,5,17,Mumbai,Industrial Area - Navi Mumbai,144,166,22.6,95.6,1.07,48.8,241,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-18,2018,5,18,Mumbai,Industrial Area - Navi Mumbai,106,339,13.4,116.2,2.08,113.9,206,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-19,2018,5,19,Mumbai,Industrial Area - Navi Mumbai,127,250,30.4,129.6,2.71,76.5,234,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-20,2018,5,20,Mumbai,Industrial Area - Navi Mumbai,136,149,27.0,39.9,0.33,68.9,212,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-21,2018,5,21,Mumbai,Industrial Area - Navi Mumbai,182,338,10.8,40.3,1.69,74.0,290,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-22,2018,5,22,Mumbai,Industrial Area - Navi Mumbai,195,221,9.1,132.5,0.52,67.9,328,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-23,2018,5,23,Mumbai,Industrial Area - Navi Mumbai,102,257,8.8,51.8,2.34,56.6,176,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-24,2018,5,24,Mumbai,Industrial Area - Navi Mumbai,158,133,31.3,71.0,3.26,44.2,251,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-25,2018,5,25,Mumbai,Industrial Area - Navi Mumbai,144,108,8.3,54.2,2.47,54.6,225,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-26,2018,5,26,Mumbai,Industrial Area - Navi Mumbai,120,80,33.7,42.3,2.27,80.1,186,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-05-27,2018,5,27,Mumbai,Industrial Area - Navi Mumbai,96,310,22.9,134.6,1.78,28.9,196,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-28,2018,5,28,Mumbai,Industrial Area - Navi Mumbai,231,266,31.4,47.5,1.3,55.6,356,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-29,2018,5,29,Mumbai,Industrial Area - Navi Mumbai,80,83,26.3,140.1,2.28,71.9,159,NO2,Synthetic multi-year data modeled on CPCB format
2018-05-30,2018,5,30,Mumbai,Industrial Area - Navi Mumbai,71,327,15.0,96.8,1.49,95.7,151,PM10,Synthetic multi-year data modeled on CPCB format
2018-05-31,2018,5,31,Mumbai,Industrial Area - Navi Mumbai,81,148,11.0,149.5,1.14,44.4,168,NO2,Synthetic multi-year data modeled on CPCB format
2018-06-01,2018,6,1,Mumbai,Industrial Area - Navi Mumbai,217,210,8.5,129.9,0.31,88.6,357,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-06-02,2018,6,2,Mumbai,Industrial Area - Navi Mumbai,98,103,10.7,84.3,0.99,34.7,169,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-03,2018,6,3,Mumbai,Industrial Area - Navi Mumbai,239,185,15.1,66.2,3.19,25.7,367,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-06-04,2018,6,4,Mumbai,Industrial Area - Navi Mumbai,219,344,14.0,116.2,0.6,41.7,365,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-05,2018,6,5,Mumbai,Industrial Area - Navi Mumbai,236,137,15.1,43.5,1.98,59.4,353,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-06-06,2018,6,6,Mumbai,Industrial Area - Navi Mumbai,111,212,13.3,130.8,0.76,96.0,209,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-07,2018,6,7,Mumbai,Industrial Area - Navi Mumbai,163,101,27.9,101.9,3.27,103.0,265,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-06-08,2018,6,8,Mumbai,Industrial Area - Navi Mumbai,188,302,25.1,120.6,0.83,43.3,320,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-09,2018,6,9,Mumbai,Industrial Area - Navi Mumbai,56,242,20.9,139.9,2.47,45.5,137,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-10,2018,6,10,Mumbai,Industrial Area - Navi Mumbai,97,168,10.0,133.8,1.35,57.3,187,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-11,2018,6,11,Mumbai,Industrial Area - Navi Mumbai,55,205,21.8,87.8,2.22,31.1,117,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-12,2018,6,12,Mumbai,Industrial Area - Navi Mumbai,131,302,32.3,117.7,2.13,48.4,239,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-13,2018,6,13,Mumbai,Industrial Area - Navi Mumbai,89,125,10.7,50.8,0.53,89.6,148,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-14,2018,6,14,Mumbai,Industrial Area - Navi Mumbai,66,91,15.7,148.9,1.43,62.0,143,NO2,Synthetic multi-year data modeled on CPCB format
2018-06-15,2018,6,15,Mumbai,Industrial Area - Navi Mumbai,118,153,18.4,29.0,0.7,50.4,184,PM10,Synthetic multi-year data modeled on CPCB format
2018-06-16,2018,6,16,Mumbai,Industrial Area - Navi Mumbai,196,226,19.8,93.4,2.57,88.6,318,PM10,Synthetic multi-year data modeled on CPCB format
